Tool:	elog
Version:	2.0
Date:	2025-07-03 14:03:47
System Name:	C:/Users/DELL/OneDrive/Máy tính/Gofa_caffe_1/Virtual Controllers/CRB15000_5_95
RobotWare:	7.18.1
RobotControl:	7.18.1
Controller Name:	CRB15000_5_95
Controller Id:	VIRTUAL_CONTROLLER



Common log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	
106       	I		Common              	10002   	<title>   	1970-01-01 07:01:38:235388	<description>	{args: "1", "0", "SC_CBC"}
105       	W		Common              	40210   	<title>   	1970-01-01 07:01:38:235379	<description>	{args: "T_GOFA_LED"}
104       	I		Common              	10017   	<title>   	1970-01-01 07:01:38:235037	<description>	
103       	I		Common              	10010   	<title>   	1970-01-01 07:01:38:235010	<description>	
102       	W		Common              	90526   	<title>   	1970-01-01 07:01:37:802001	<description>	
101       	I		Common              	10045   	<title>   	1970-01-01 07:00:00:060013	<description>	
100       	I		Common              	10056   	<title>   	1970-01-01 07:30:09:792003	<description>	
99        	I		Common              	10401   	<title>   	1970-01-01 07:30:09:273013	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
98        	I		Common              	10401   	<title>   	1970-01-01 07:30:09:273000	<description>	{args: "Admin", "RobAPI2-Client"}
97        	I		Common              	10125   	<title>   	1970-01-01 07:03:45:139017	<description>	{args: "2", "T_ROB1", "17"}
96        	I		Common              	10151   	<title>   	1970-01-01 07:03:01:839068	<description>	{args: "2", "T_ROB1"}
95        	I		Common              	10053   	<title>   	1970-01-01 07:03:01:839060	<description>	{args: "0"}
94        	I		Common              	10052   	<title>   	1970-01-01 07:03:01:839027	<description>	{args: "0"}
93        	I		Common              	10149   	<title>   	1970-01-01 07:03:01:744003	<description>	{args: "T_ROB1", "main", "Admin"}
92        	I		Common              	10002   	<title>   	1970-01-01 07:03:01:612017	<description>	{args: "2", "0", "T_ROB1"}
91        	I		Common              	10125   	<title>   	1970-01-01 07:03:00:844041	<description>	{args: "2", "T_ROB1", "17"}
90        	I		Common              	10151   	<title>   	1970-01-01 07:01:52:616026	<description>	{args: "2", "T_ROB1"}
89        	I		Common              	10053   	<title>   	1970-01-01 07:01:52:616018	<description>	{args: "0"}
88        	I		Common              	10052   	<title>   	1970-01-01 07:01:52:267017	<description>	{args: "0"}
87        	I		Common              	10011   	<title>   	1970-01-01 07:01:52:084018	<description>	
86        	I		Common              	10149   	<title>   	1970-01-01 07:01:51:752003	<description>	{args: "T_ROB1", "main", "Admin"}
85        	W		Common              	90526   	<title>   	1970-01-01 07:01:30:564001	<description>	
84        	I		Common              	10010   	<title>   	1970-01-01 07:01:29:719038	<description>	
83        	E		Common              	90867   	<title>   	1970-01-01 07:01:29:719010	<description>	
82        	I		Common              	10012   	<title>   	1970-01-01 07:01:26:572079	<description>	
81        	I		Common              	10010   	<title>   	1970-01-01 07:01:26:572057	<description>	
80        	I		Common              	10011   	<title>   	1970-01-01 07:01:26:572026	<description>	
79        	I		Common              	10400   	<title>   	1970-01-01 07:01:25:699001	<description>	{args: "Admin", "RobAPI2-Client"}
78        	I		Common              	10400   	<title>   	1970-01-01 07:01:25:643001	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
77        	I		Common              	10129   	<title>   	1970-01-01 07:01:24:016009	<description>	{args: "2", "T_ROB1", "9"}
76        	I		Common              	10150   	<title>   	1970-01-01 07:01:23:937225	<description>	{args: "1", "SC_CBC"}
75        	I		Common              	10150   	<title>   	1970-01-01 07:01:23:937212	<description>	{args: "3", "T_GOFA_LED"}
74        	I		Common              	10129   	<title>   	1970-01-01 07:01:23:937201	<description>	{args: "3", "T_GOFA_LED", "9"}
73        	I		Common              	10002   	<title>   	1970-01-01 07:01:23:937162	<description>	{args: "2", "0", "T_ROB1"}
72        	I		Common              	10150   	<title>   	1970-01-01 07:01:23:937146	<description>	{args: "3", "T_GOFA_LED"}
71        	I		Common              	10150   	<title>   	1970-01-01 07:01:23:937138	<description>	{args: "2", "T_ROB1"}
70        	I		Common              	10002   	<title>   	1970-01-01 07:01:23:937125	<description>	{args: "3", "0", "T_GOFA_LED"}
69        	I		Common              	10002   	<title>   	1970-01-01 07:01:23:937116	<description>	{args: "1", "0", "SC_CBC"}
68        	W		Common              	40210   	<title>   	1970-01-01 07:01:23:937107	<description>	{args: "T_GOFA_LED"}
67        	I		Common              	10017   	<title>   	1970-01-01 07:01:23:937037	<description>	
66        	I		Common              	10010   	<title>   	1970-01-01 07:01:23:937010	<description>	
65        	W		Common              	90526   	<title>   	1970-01-01 07:01:23:504001	<description>	
64        	I		Common              	10045   	<title>   	1970-01-01 07:00:00:024013	<description>	
